Resistor,Resistance / k-ohm,,Battery,Voltage / V,Current / mA,Internal Resistance / ohm
R1,10.008,,G1,1.6035,15.575,3.053451043
R2,4.703,,G2,1.6063,15.754,2.061406627
R1 + R2,14.71,,G3,1.6026,15.633,2.613912877
R3,0.0999,,G4,1.6059,15.68,2.517091837
R4,10.21,,B1,1.3558,12.741,6.512369516
,,,B2,1.3623,12.546,8.684409374
,,,B3,1.304,12.034,8.459647665
,,,U1,1.0866,8.571,26.87633882
,,,U2,1.4886,13.036,14.29146978
,,,U3,0.811,6.952,16.7570771
,,,U4,1.2062,10.071,19.86963559
,,,U5,0.9242,7.62,21.38608924
,,,U6,1.2393,11.833,4.832527677
